experiment,id,split,utterance,gold,predicted,correct,confidence,jev_confidence,top1,p1,top2,p2,top3,p3,n_nonzero_options,latency_ms,cost_usd,described_predicted,described_correct,described_confidence
E1-inscope,train-30,train,how would i say love in french,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,119,0.00010449600000000001,,,
E1-inscope,train-31,train,could you translate atm machine into english,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,125,0.00010449600000000001,,,
E1-inscope,train-32,train,please translate grocery into french for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,134,0.00010449600000000001,,,
E1-inscope,train-33,train,how do germans say goodnight,translate,translate,1,0.98,0.97,translate,0.98,goodbye,0.01,greeting,0.01,3,117,0.00010453800000000001,,,
E1-inscope,train-34,train,tell me how the russians say notebook,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,140,0.00010458000000000002,,,
E1-inscope,train-35,train,how do vietnameses people say hello,translate,translate,1,0.56,0.54,translate,0.56,greeting,0.44,,,2,164,0.00010453800000000001,,,
E1-inscope,train-36,train,how do i say thank you in japanese,translate,translate,1,0.98,0.97,translate,0.98,thank_you,0.02,,,2,103,0.00010453800000000001,,,
E1-inscope,train-37,train,what is latin for i love you,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,149,0.00010449600000000001,,,
E1-inscope,train-38,train,how can i thank somebody in italian,translate,translate,1,0.86,0.85,translate,0.86,thank_you,0.14,,,2,127,0.00010449600000000001,,,
E1-inscope,train-39,train,how do i say you're welcome in chinese,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,140,0.00010458000000000002,,,
E1-inscope,train-40,train,translate hello english to french,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,126,0.000104412,,,
E1-inscope,train-41,train,what is hello in french,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,129,0.000104412,,,
E1-inscope,train-42,train,what phrase means goodbye in hawaii,translate,goodbye,0,0.49,0.48,goodbye,0.49,translate,0.41,definition,0.1,3,208,0.00010453800000000001,,,
E1-inscope,train-43,train,what spanish word means hello,translate,translate,1,0.89,0.88,translate,0.89,greeting,0.06,definition,0.05,3,174,0.000104412,,,
E1-inscope,train-44,train,translate hello to french,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,118,0.00010437,,,
E1-inscope,train-45,train,translate english to french hello,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,145,0.000104412,,,
E1-inscope,train-46,train,what is the word for hello spanish,translate,translate,1,0.98,0.97,translate,0.98,greeting,0.02,,,2,103,0.00010449600000000001,,,
E1-inscope,train-47,train,how do they say goodbye in hawaii,translate,goodbye,0,0.59,0.58,goodbye,0.59,translate,0.31,fun_fact,0.08,5,122,0.00010458000000000002,,,
E1-inscope,train-48,train,what's local slang for goodbye in hawaii,translate,goodbye,0,0.59,0.58,goodbye,0.59,translate,0.18,definition,0.17,4,163,0.000104622,,,
E1-inscope,train-49,train,how do you say hello in french,translate,translate,1,0.98,0.98,translate,0.98,greeting,0.02,,,2,87,0.00010449600000000001,,,
E1-inscope,train-50,train,tell me how to say hello in spanish,translate,translate,1,0.98,0.98,translate,0.98,greeting,0.02,,,2,155,0.00010453800000000001,,,
E1-inscope,train-51,train,what do i say for goodbye in hawaii,translate,goodbye,0,0.78,0.77,goodbye,0.78,translate,0.22,,,2,102,0.000104622,,,
E1-inscope,train-52,train,translate hello into french for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,153,0.00010445400000000001,,,
E1-inscope,train-53,train,how do i say hello in french,translate,translate,1,0.96,0.96,translate,0.96,greeting,0.04,,,2,233,0.00010449600000000001,,,
E1-inscope,train-54,train,translate for me hello into french,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,131,0.00010445400000000001,,,
E1-inscope,train-55,train,how would they say say goodbye in hawaii,translate,goodbye,0,0.57,0.55,goodbye,0.57,translate,0.43,,,2,125,0.000104622,,,
E1-inscope,train-56,train,what is spanish for hello,translate,translate,1,0.99,0.99,translate,0.99,greeting,0.01,,,2,155,0.000104412,,,
E1-inscope,train-57,train,how would i say hello in french,translate,translate,1,0.94,0.94,translate,0.94,greeting,0.06,,,2,145,0.00010449600000000001,,,
E1-inscope,train-58,train,how can i say i love you in italy,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,166,0.000104622,,,
E1-inscope,train-59,train,what is spanish for good morning,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,145,0.00010445400000000001,,,
E1-inscope,train-60,train,how do you say it's snowing in german,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,199,0.000104664,,,
E1-inscope,train-61,train,how would you say can i borrow five dollars in portuguese,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,161,0.00010474800000000001,,,
E1-inscope,train-62,train,do you know how to say where is the restroom in french,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,276,0.000104706,,,
E1-inscope,train-63,train,how would i say pleased to meet you if i were japanese,translate,translate,1,0.93,0.93,translate,0.93,greeting,0.07,,,2,131,0.000104706,,,
E1-inscope,train-64,train,can you translate hello into swedish for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,178,0.00010458000000000002,,,
E1-inscope,train-65,train,can you translate i love you into french for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,145,0.000104622,,,
E1-inscope,train-66,train,can you translate where's the bar into irish for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,249,0.000104706,,,
E1-inscope,train-67,train,how would i say goodbye if i were norwegian,translate,translate,1,0.79,0.78,translate,0.79,goodbye,0.21,,,2,106,0.00010458000000000002,,,
E1-inscope,train-68,train,how would i say i love you if i were french,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,119,0.000104664,,,
E1-inscope,train-69,train,how would i say hello if i were swedish,translate,translate,1,0.83,0.81,translate,0.83,greeting,0.17,,,2,122,0.000104622,,,
E1-inscope,train-70,train,can you translate good bye into russian for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,152,0.00010458000000000002,,,
E1-inscope,train-71,train,can you translate i have to go pee into korean for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,274,0.00010474800000000001,,,
E1-inscope,train-72,train,how would i say i'm not guilty if i were mexican,translate,translate,1,0.96,0.95,translate,0.96,where_are_you_from,0.02,change_language,0.01,4,239,0.00010474800000000001,,,
E1-inscope,train-73,train,how do you say thank you in spanish,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,241,0.00010453800000000001,,,
E1-inscope,train-74,train,how does one say thank you in spanish,translate,translate,1,0.99,0.99,translate,0.99,thank_you,0.01,,,2,209,0.00010453800000000001,,,
E1-inscope,train-75,train,how can i say thank you in spanish,translate,translate,1,0.97,0.97,translate,0.97,thank_you,0.03,,,2,113,0.00010453800000000001,,,
E1-inscope,train-76,train,what is thank you in spanish,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,192,0.00010445400000000001,,,
E1-inscope,train-77,train,what is the way to say thank you in spanish,translate,translate,1,0.99,0.99,translate,0.99,thank_you,0.01,,,2,95,0.000104622,,,
E1-inscope,train-78,train,"how do they say ""who is your father"" in german",translate,translate,1,1.0,1.0,translate,1.0,,,,,1,130,0.000104706,,,
E1-inscope,train-79,train,"how do they say ""where's the bathroom"" in spanish",translate,translate,1,1.0,1.0,translate,1.0,,,,,1,164,0.000104706,,,
E1-inscope,train-80,train,"how do they say ""how's it going"" in swahili",translate,translate,1,0.99,0.99,translate,0.99,greeting,0.01,,,2,138,0.00010479,,,
E1-inscope,train-81,train,"how do they say ""i love you"" in japanese",translate,translate,1,1.0,1.0,translate,1.0,,,,,1,196,0.000104664,,,
E1-inscope,train-82,train,"how do they say ""what's up"" in chinese",translate,translate,1,0.99,0.99,translate,0.99,greeting,0.01,,,2,130,0.000104664,,,
E1-inscope,train-83,train,how do you say thank you in german,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,172,0.00010453800000000001,,,
E1-inscope,train-84,train,how do you say please in arabic,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,204,0.00010453800000000001,,,
E1-inscope,train-85,train,how do you say cat in spanish,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,161,0.00010449600000000001,,,
E1-inscope,train-86,train,how do you say i'm hungry in french,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,154,0.00010458000000000002,,,
E1-inscope,train-87,train,how do you say i need coffee in dutch,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,139,0.000104622,,,
E1-inscope,train-88,train,how do they say yes in brazil,translate,translate,1,0.97,0.96,translate,0.97,yes,0.03,,,2,166,0.00010449600000000001,,,
E1-inscope,train-89,train,can you translate cat into russian for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,131,0.00010453800000000001,,,
E1-inscope,train-90,train,can you translate bowl into russian for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,112,0.00010453800000000001,,,
E1-inscope,train-91,train,how do they say hello in france,translate,translate,1,0.79,0.78,translate,0.79,greeting,0.2,fun_fact,0.01,3,170,0.00010449600000000001,,,
E1-inscope,train-92,train,i wanna know a phrase in spanish,translate,translate,1,1.0,0.99,translate,1.0,,,,,1,209,0.00010449600000000001,,,
E1-inscope,train-93,train,can you translate bat into russian for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,289,0.00010453800000000001,,,
E1-inscope,train-94,train,how do they say no in germany,translate,translate,1,0.96,0.96,translate,0.96,no,0.04,,,2,216,0.00010449600000000001,,,
E1-inscope,train-95,train,can you translate hi into spanish for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,214,0.00010453800000000001,,,
E1-inscope,train-96,train,i wanna learn a phrase in russian,translate,translate,1,0.99,0.98,translate,0.99,change_language,0.01,,,2,155,0.00010449600000000001,,,
E1-inscope,train-97,train,how do they say hello in germany,translate,translate,1,0.74,0.73,translate,0.74,greeting,0.26,,,2,121,0.00010449600000000001,,,
E1-inscope,train-98,train,can you translate milk into spanish for me,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,102,0.00010453800000000001,,,
E1-inscope,train-99,train,how do they say hello in brazil,translate,translate,1,0.73,0.73,translate,0.73,greeting,0.26,fun_fact,0.01,3,129,0.00010449600000000001,,,
E1-inscope,train-100,train,i need $20000 transferred from my savings to my checking,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,148,0.000104832,,,
E1-inscope,train-101,train,complete a transaction from savings to checking of $20000,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,125,0.00010479,,,
E1-inscope,train-102,train,transfer $20000 from my savings account to checking account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,163,0.00010479,,,
E1-inscope,train-103,train,take $20000 from savings and put it in checking,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,183,0.00010479,,,
E1-inscope,train-104,train,put $20000 into my checking account from my savings account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,96,0.000104832,,,
E1-inscope,train-105,train,send 100 dollars between bank of the west and bank of america acccounts,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,110,0.000105,,,
E1-inscope,train-106,train,send 50 dollars between bank of america and chase accounts,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,155,0.000104706,,,
E1-inscope,train-107,train,send 2000 dollars between chase and rabobank accounts,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,219,0.00010479,,,
E1-inscope,train-108,train,send 1200 dollars between usaa and navy federal accounts,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,108,0.00010479,,,
E1-inscope,train-109,train,send 400 dollars between city bank and usaa accounts,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,194,0.00010474800000000001,,,
E1-inscope,train-110,train,take $40 and transfer it to account a from b,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,110,0.000104706,,,
E1-inscope,train-111,train,transfer $40 from account a to b,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,115,0.00010458000000000002,,,
E1-inscope,train-112,train,move $40 from account b to account a,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,259,0.000104622,,,
E1-inscope,train-113,train,put $40 from account a to b,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,174,0.00010458000000000002,,,
E1-inscope,train-114,train,take $40 from account a and transfer it to account b,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,145,0.00010474800000000001,,,
E1-inscope,train-115,train,i need to transfer from this account to that one,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,85,0.000104622,,,
E1-inscope,train-116,train,need to transfer from one account to my other one,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,164,0.000104622,,,
E1-inscope,train-117,train,i would like to transfer from one account to my second one,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,114,0.000104706,,,
E1-inscope,train-118,train,i need to transfer from one account to my second one,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,225,0.000104664,,,
E1-inscope,train-119,train,i have to transfer from one account to my other one,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,122,0.000104664,,,
E1-inscope,train-120,train,send fifty dollars from me to carrie,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,131,0.00010453800000000001,,,
E1-inscope,train-121,train,transfer sixty dollars to dad from my biggest accnt,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,154,0.000104622,,,
E1-inscope,train-122,train,send over a hundred dollars from huntington into saving,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,107,0.000104664,,,
E1-inscope,train-123,train,move 57 dollars from saving into mom,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,228,0.00010458000000000002,,,
E1-inscope,train-124,train,transfer two hundred dollars between my portfolio and my money market account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,131,0.000104706,,,
E1-inscope,train-125,train,i need to transfer ten dollars from my bank of america account to my capital one account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,182,0.00010491600000000001,,,
E1-inscope,train-126,train,go ahead and send ten dollars from bank of america to capital one,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,139,0.00010474800000000001,,,
E1-inscope,train-127,train,i must transfer ten dollars from my bank of america account to my capital one account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,249,0.00010487400000000001,,,
E1-inscope,train-128,train,i got to transfer ten dollars from my bank of america account to my capital one account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,163,0.00010491600000000001,,,
E1-inscope,train-129,train,i want you to send ten dollars from bank of america to capital one,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,151,0.00010479,,,
E1-inscope,train-130,train,i need you to send ten dollars from bank of america to capital one,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,131,0.00010479,,,
E1-inscope,train-131,train,i have to transfer ten dollars from my bank of america account to my capital one account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,202,0.00010491600000000001,,,
E1-inscope,train-132,train,send ten dollars from bank of america to capital one,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,139,0.000104622,,,
E1-inscope,train-133,train,please send ten dollars from bank of america to capital one,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,159,0.000104664,,,
E1-inscope,train-134,train,make a transfer of $200 from my savings account to my checking account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,229,0.00010487400000000001,,,
E1-inscope,train-135,train,please transfer $250 from checking to savings,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,99,0.000104622,,,
E1-inscope,train-136,train,transfer $500 from my checking to my savings,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,213,0.000104664,,,
E1-inscope,train-137,train,please transfer $100 from my checking to my savings account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,187,0.00010474800000000001,,,
E1-inscope,train-138,train,transfer $500 from my money market savings account to my checking account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,142,0.000104832,,,
E1-inscope,train-139,train,send money from one account to another,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,149,0.00010449600000000001,,,
E1-inscope,train-140,train,transfer 200 dollars from paypal to savings,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,162,0.000104622,,,
E1-inscope,train-141,train,transfer $10 from checking to savings,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,128,0.00010453800000000001,,,
E1-inscope,train-142,train,send $100 from paypal to my bank,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,545,0.000104622,,,
E1-inscope,train-143,train,please transfer 100 dollars between my amazon payments and savings accounts,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,144,0.00010479,,,
E1-inscope,train-144,train,i would like to make a transfer,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,94,0.00010449600000000001,,,
E1-inscope,train-145,train,i want to transfer funds between accounts,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,176,0.00010449600000000001,,,
E1-inscope,train-146,train,send over 50 dollars between my shared and not shared accounts,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,271,0.00010474800000000001,,,
E1-inscope,train-147,train,whats the quickest way to money from one account to another,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,230,0.000104706,,,
E1-inscope,train-148,train,what is the process to move money from one account to another,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,201,0.000104706,,,
E1-inscope,train-149,train,i need you to send 500 dollars from my high tier account to my regular checking account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,153,0.000105042,,,
E1-inscope,train-150,train,can you transfer money from a to b,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,90,0.00010453800000000001,,,
E1-inscope,train-151,train,send my money between accounts,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,152,0.000104412,,,
E1-inscope,train-152,train,how can i send money from one account to another,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,164,0.000104622,,,
E1-inscope,train-153,train,i need to move money from one account to another,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,185,0.000104622,,,
E1-inscope,train-154,train,send $20 from debit to steve's account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,123,0.000104664,,,
E1-inscope,train-155,train,send 20 dollars from savings to checking,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,131,0.00010458000000000002,,,
E1-inscope,train-156,train,please transfer my funds,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,184,0.00010437,,,
E1-inscope,train-157,train,please transfer $50 to my checking account from credit,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,199,0.000104664,,,
E1-inscope,train-158,train,go ahead and move $200 from amazon to my bank account,transfer,transfer,1,0.95,0.94,transfer,0.95,redeem_rewards,0.05,,,2,146,0.00010479,,,
E1-inscope,train-159,train,help me move my money,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,277,0.000104412,,,
E1-inscope,train-160,train,i need my money to be moved,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,92,0.00010449600000000001,,,
E1-inscope,train-161,train,help me move my money please,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,145,0.00010445400000000001,,,
E1-inscope,train-162,train,i need to move my money,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,124,0.00010445400000000001,,,
E1-inscope,train-163,train,move my money please,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,110,0.00010437,,,
E1-inscope,train-164,train,i would like to transfer $5 from savings to checking,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,102,0.000104664,,,
E1-inscope,train-165,train,transfer $5 from savings to checking,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,175,0.00010449600000000001,,,
E1-inscope,train-166,train,can you transfer $5 from savings to checking,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,84,0.00010458000000000002,,,
E1-inscope,train-167,train,send $5 from savings to checking,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,161,0.00010449600000000001,,,
E1-inscope,train-168,train,please transfer $5 from savings to checking,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,88,0.00010453800000000001,,,
E1-inscope,train-169,train,please switch $s checking to mortage,transfer,pay_bill,0,0.202,0.19,pay_bill,0.202,order_checks,0.1818,transfer,0.1616,18,247,0.00010453800000000001,,,
E1-inscope,train-170,train,please transfer $s from saving to checking,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,126,0.00010453800000000001,,,
E1-inscope,train-171,train,could you transfer $x from saving to checking,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,160,0.00010458000000000002,,,
E1-inscope,train-172,train,help me transfer $x from credit to debit,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,92,0.00010458000000000002,,,
E1-inscope,train-173,train,please transfer $x from checking to saving,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,191,0.00010453800000000001,,,
E1-inscope,train-174,train,transfer money to another account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,168,0.000104412,,,
E1-inscope,train-175,train,requesting money transfer between accounts,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,203,0.00010449600000000001,,,
E1-inscope,train-176,train,transfer money from this account to that account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,139,0.00010453800000000001,,,
E1-inscope,train-177,train,can you transfer money from my account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,235,0.00010449600000000001,,,
E1-inscope,train-178,train,money transfer request,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,271,0.00010432800000000001,,,
E1-inscope,train-179,train,send 100 dollars from checking to savings,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,193,0.000104622,,,
E1-inscope,train-180,train,transfer 100 dollars checking to savings,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,146,0.00010458000000000002,,,
E1-inscope,train-181,train,transfer 100 dollars between checking and savings,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,188,0.000104622,,,
E1-inscope,train-182,train,take 100 dollars from checking and send it to savings,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,182,0.00010474800000000001,,,
E1-inscope,train-183,train,move 100 dollars from checking to savings,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,217,0.000104622,,,
E1-inscope,train-184,train,can we wire some money over to the other account i have,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,111,0.000104706,,,
E1-inscope,train-185,train,time to move some cash from one account to another,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,118,0.000104622,,,
E1-inscope,train-186,train,i need to throw some money into that other account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,131,0.000104622,,,
E1-inscope,train-187,train,let's send some money to another account,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,154,0.00010453800000000001,,,
E1-inscope,train-188,train,i want to initiate a transfer from one account to the other,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,144,0.000104706,,,
E1-inscope,train-189,train,transfer money from one place to another,transfer,transfer,1,1.0,1.0,transfer,1.0,,,,,1,170,0.00010449600000000001,,,
